Timestamp,symbol,Open,High,Low,Close,Volume
2017-08-17,BTC/USDT,4469.93,4485.39,4200.74,4285.08,647.86
2017-08-18,BTC/USDT,4285.08,4371.52,3938.77,4108.37,1178.07
2017-08-19,BTC/USDT,4108.37,4184.69,3850,4139.98,371.15
2017-08-20,BTC/USDT,4139.98,4211.08,4032.62,4086.29,463.54
2017-08-21,BTC/USDT,4086.29,4119.62,3911.79,4016,685.12
2017-08-22,BTC/USDT,4016,4104.82,3400,4040,939.91
2017-08-23,BTC/USDT,4040,4265.8,4013.89,4114.01,980.5
2017-08-24,BTC/USDT,4114.01,4371.68,4085.01,4316.01,770.46
2017-08-25,BTC/USDT,4316.01,4453.91,4247.48,4280.68,563.36
2017-08-26,BTC/USDT,4280.68,4367,4212.41,4337.44,225.76
2017-08-27,BTC/USDT,4337.44,4400,4285.54,4310.01,347.47
2017-08-28,BTC/USDT,4310.01,4399.82,4124.54,4386.69,593.15
2017-08-29,BTC/USDT,4386.69,4625.85,4313.55,4587.48,594.12
2017-08-30,BTC/USDT,4587.48,4647.51,4416.01,4555.14,790.13
2017-08-31,BTC/USDT,4555.14,4745.42,4555.14,4724.89,550.18
2017-09-01,BTC/USDT,4724.89,4885.55,4654.88,4834.91,554.18
2017-09-02,BTC/USDT,4834.91,4939.19,4286.87,4472.14,888.18
2017-09-03,BTC/USDT,4472.14,4714.76,4298.33,4509.08,666.62
2017-09-04,BTC/USDT,4509.08,4527.49,3972.51,4100.11,1309.91
2017-09-05,BTC/USDT,4100.11,4484.99,3603,4366.47,1175.2
2017-09-06,BTC/USDT,4366.47,4662.87,4335.26,4619.77,779.5
2017-09-07,BTC/USDT,4619.77,4788.59,4438.19,4691.61,481.83
2017-09-08,BTC/USDT,4691.61,4735.39,4028.93,4282.8,1108.34
2017-09-09,BTC/USDT,4282.8,4426.62,4150.06,4258.81,658.59
2017-09-10,BTC/USDT,4258.81,4283,3801,4130.37,648.94
2017-09-11,BTC/USDT,4130.37,4334.43,4098.91,4208.47,685.57
2017-09-12,BTC/USDT,4208.47,4394.59,4040.8,4163.72,873.9
2017-09-13,BTC/USDT,4163.72,4165.38,3760,3944.69,901.25
2017-09-14,BTC/USDT,3944.69,3993,3165.13,3189.02,1642.54
2017-09-15,BTC/USDT,3189.02,3856,2817,3700,1949.32
2017-09-16,BTC/USDT,3700,3950,3470.66,3714.95,1280.1
2017-09-17,BTC/USDT,3714.95,3748.21,3499.02,3699.99,676.16
2017-09-18,BTC/USDT,3699.99,4123.2,3690,4035.01,1027.67
2017-09-19,BTC/USDT,4035.01,4089.97,3830.91,3910.04,898.81
2017-09-20,BTC/USDT,3910.04,4046.08,3820,3900,719.59
2017-09-21,BTC/USDT,3900,3910,3567,3609.99,971.06
2017-09-22,BTC/USDT,3609.99,3750,3505.55,3595.87,833.3
2017-09-23,BTC/USDT,3595.87,3817.19,3542.91,3780,747.79
2017-09-24,BTC/USDT,3780,3789.99,3622.76,3660.02,659.82
2017-09-25,BTC/USDT,3660.02,3979.87,3653.69,3920.75,720.64
2017-09-26,BTC/USDT,3920.75,3976.99,3850.05,3882.35,523.31
2017-09-27,BTC/USDT,3882.35,4249.94,3872.81,4193,625.3
2017-09-28,BTC/USDT,4193,4300,4101,4174.5,839.55
2017-09-29,BTC/USDT,4174.5,4263.86,3952.01,4174.69,1561.22
2017-09-30,BTC/USDT,4174.69,4380,4138.1,4378.51,705.52
2017-10-01,BTC/USDT,4378.51,4406.52,4240.04,4378.48,724.9
2017-10-02,BTC/USDT,4378.48,4561.63,4360,4380,634.55
2017-10-03,BTC/USDT,4380,4467.33,4180.8,4310,1070.97
2017-10-04,BTC/USDT,4310,4373,4142,4208.59,859.82
2017-10-05,BTC/USDT,4208.59,4355,4110,4292.43,760.44
2017-10-06,BTC/USDT,4292.43,4417,4292,4369,502.17
2017-10-07,BTC/USDT,4369,4479.5,4312.56,4423,288.14
2017-10-08,BTC/USDT,4423,4658,4423,4640,504.13
2017-10-09,BTC/USDT,4640,4889.98,4550,4786.95,639.27
2017-10-10,BTC/USDT,4786.95,4960,4680.59,4783.06,1036.4
2017-10-11,BTC/USDT,4783.06,4881.61,4710,4821.43,736.72
2017-10-12,BTC/USDT,4821.43,5439.99,4810.16,5430,1267.18
2017-10-13,BTC/USDT,5430,5846.17,5379.84,5649.98,1865.9
2017-10-14,BTC/USDT,5649.98,5900,5580.01,5869.99,966.19
2017-10-15,BTC/USDT,5869.99,5922.3,5400.01,5709.99,1329.45
2017-10-16,BTC/USDT,5709.99,5788.91,5585.19,5760.02,1516.11
2017-10-17,BTC/USDT,5760.02,5774.98,5508.63,5595,1422.23
2017-10-18,BTC/USDT,5595,5596,5037.95,5512.06,2295.6
2017-10-19,BTC/USDT,5512.06,5710,5490.26,5683.9,1869.04
2017-10-20,BTC/USDT,5683.9,6110,5600,6010.01,1930.56
2017-10-21,BTC/USDT,6010.01,6171,5850.03,6024.97,1650.65
2017-10-22,BTC/USDT,6024.97,6060,5720.03,5950.02,1347.95
2017-10-23,BTC/USDT,5950.02,6080,5621.03,5915.93,1788.86
2017-10-24,BTC/USDT,5915.93,5925,5450,5477.03,2555.89
2017-10-25,BTC/USDT,5477.03,5704.96,5286.98,5689.99,2256.1
2017-10-26,BTC/USDT,5689.99,5939.99,5650,5861.77,1959.75
2017-10-27,BTC/USDT,5861.77,5980,5649.24,5768.83,1394.13
2017-10-28,BTC/USDT,5768.83,5850.02,5630.03,5719.64,1269.38
2017-10-29,BTC/USDT,5719.64,6189.88,5648.01,6169.98,1783.44
2017-10-30,BTC/USDT,6169.98,6248.68,6030,6120.5,1467.03
2017-10-31,BTC/USDT,6120.5,6498.01,6100,6463,1498.91
2017-11-01,BTC/USDT,6463,6774.67,6338.02,6753.98,1659.85
2017-11-02,BTC/USDT,6753.98,7300,6685.1,7019.98,2459.59
2017-11-03,BTC/USDT,7019.98,7346.34,6923,7115.04,1857.73
2017-11-04,BTC/USDT,7115.04,7480.99,6901,7357.09,1385.7
2017-11-05,BTC/USDT,7357.09,7590.25,7279.02,7345.01,1192.58
2017-11-06,BTC/USDT,7345.01,7401,6906,6960.12,1741.45
2017-11-07,BTC/USDT,6960.12,7198.49,6901,7064.04,1421.75
