Timestamp,Open,High,Low,Close,Volume
2017-08-17 04-AM,652.74,652.74,298,300.79,122.52
2017-08-17 05-AM,301.61,303.28,300,303.1,377.67
2017-08-17 06-AM,303.1,304.44,301.9,302.68,302.51
2017-08-17 07-AM,302.68,307.96,302.6,307.96,753.19
2017-08-17 08-AM,307.96,309.97,307,308.62,150.75
2017-08-17 09-AM,308.62,312,308.62,310,464.18
2017-08-17 10-AM,310,310.97,308.54,309.3,284.39
2017-08-17 11-AM,309.3,310.68,307.78,308.95,271.06
2017-08-17 12-PM,308.95,310.51,307.98,308.62,401.78
2017-08-17 01-PM,308.62,309.72,307.77,309.4,310.58
2017-08-17 02-PM,309.4,309.4,305.49,306.5,695.46
2017-08-17 03-PM,306.5,308.76,303.56,307.06,459.42
2017-08-17 04-PM,307.06,312.18,298.21,308,596.8
2017-08-17 05-PM,308,308.33,303.98,308.33,191.95
2017-08-17 06-PM,308.33,311.53,298.96,309.1,203.65
2017-08-17 07-PM,309.1,309.84,301.6,309.41,215.64
2017-08-17 08-PM,301.6,309.4,299.01,304.79,270.32
2017-08-17 09-PM,304.79,309.4,304.04,307.44,330.55
2017-08-17 10-PM,307.44,310.74,303.44,306.74,368.37
2017-08-17 11-PM,306.74,310.85,303.02,303.02,119.21
2017-08-18 12-AM,302,306.2,297.4,301.19,496.43
2017-08-18 01-AM,301.19,305.55,295.19,298.73,320.05
2017-08-18 02-AM,298.73,304.7,298.73,300.52,208.21
2017-08-18 03-AM,300.52,306.47,300.05,301.4,605.93
2017-08-18 04-AM,301.4,302.95,298.41,301.8,441.97
2017-08-18 05-AM,301.8,305.92,300,304.7,523.28
2017-08-18 06-AM,304.7,307,303.21,307,343.92
2017-08-18 07-AM,307,309.49,305.23,306.24,406.29
2017-08-18 08-AM,306.24,310.85,303.79,304.23,310.16
2017-08-18 09-AM,304.23,307.72,303.22,304.71,305.75
2017-08-18 10-AM,304.71,311.06,304.71,308.88,332.47
2017-08-18 11-AM,308.88,311.79,306.27,307.78,261.15
2017-08-18 12-PM,307.78,310.29,305.73,308.47,382.69
2017-08-18 01-PM,308.47,309.66,301.3,303.22,336.87
2017-08-18 02-PM,303.22,303.22,296.32,298.52,393.35
2017-08-18 03-PM,298.52,300.99,297.32,298.8,214.99
2017-08-18 04-PM,298.8,301.11,295.64,299.21,401.62
2017-08-18 05-PM,299.21,299.21,293.18,295.53,354.23
2017-08-18 06-PM,295.53,298.25,289.75,289.75,408.28
2017-08-18 07-PM,289.75,295.6,287.37,293.83,434.13
2017-08-18 08-PM,293.83,295.46,288.25,291.87,748.01
2017-08-18 09-PM,291.87,291.87,283.94,286.3,602.04
2017-08-18 10-PM,286.3,294.19,284.02,293.74,467.06
2017-08-18 11-PM,293.74,294.18,289.97,293.96,93.92
2017-08-19 12-AM,293.96,297.15,293.31,295.44,86
2017-08-19 01-AM,295.44,298.2,294.24,297.19,41.96
2017-08-19 02-AM,297.19,299.84,296.56,299.84,85.46
2017-08-19 03-AM,299.84,299.84,292.83,293.22,66.65
2017-08-19 04-AM,293.22,297.19,291.87,291.87,42.99
2017-08-19 05-AM,291.87,299.9,291.87,293.23,35.01
2017-08-19 06-AM,293.23,295.56,289.02,289.02,45.02
2017-08-19 07-AM,289.02,292.17,287.01,290.16,112.26
2017-08-19 08-AM,290.16,290.16,287,288.4,148.38
2017-08-19 09-AM,288.4,293.17,287.66,290.3,228.92
2017-08-19 10-AM,290.3,292.24,283.58,287.14,447.3
2017-08-19 11-AM,287.14,287.15,278,282.58,311.1
2017-08-19 12-PM,282.58,290.85,279.56,290.85,165.65
2017-08-19 01-PM,290.85,290.85,286.36,286.36,20.95
2017-08-19 02-PM,286.36,288.64,283,283,13.82
2017-08-19 03-PM,283,288.64,283,288.64,87.21
2017-08-19 04-PM,288.64,290.16,286.12,286.14,61.95
2017-08-19 05-PM,286.14,293.15,284.16,293.15,11.13
2017-08-19 06-PM,293.15,295,288.95,295,41.14
2017-08-19 07-PM,295,295,291.99,293.31,13.17
2017-08-19 08-PM,293.31,293.31,288.8,290.31,13.81
2017-08-19 09-PM,290.31,293.25,289.9,293.25,25.03
2017-08-19 10-PM,293.25,294.9,290.91,290.91,35.16
2017-08-19 11-PM,290.91,290.91,290.91,290.91,0
2017-08-20 12-AM,290.91,292.42,286.91,287,15.54
2017-08-20 01-AM,287,290.87,285.96,289.94,17.25
2017-08-20 02-AM,289.94,292.42,287.66,292.42,32.6
2017-08-20 03-AM,292.42,292.42,289.47,292.41,3.01
2017-08-20 04-AM,292.41,292.41,287.97,288.3,6.66
2017-08-20 05-AM,288.3,293.15,285.39,292.17,42.9
2017-08-20 06-AM,292.17,293.15,289,293.12,35.01
2017-08-20 07-AM,293.12,295.56,287.87,292.08,165.98
2017-08-20 08-AM,292.08,295.98,282.85,295.98,157.92
2017-08-20 09-AM,295.98,295.98,292.59,295.96,4.87
2017-08-20 10-AM,295.96,296.89,293.43,295.51,24.84
2017-08-20 11-AM,295.51,295.51,292.59,295,51.54
2017-08-20 12-PM,295,296.92,294.29,296.92,56.17
2017-08-20 01-PM,296.92,296.92,292.28,293.41,6.1
2017-08-20 02-PM,293.41,294.25,293.41,294.25,3.9
2017-08-20 03-PM,294.25,295.16,294.25,295.1,0.01579
2017-08-20 04-PM,295.1,297.92,293.28,296.46,52.64
2017-08-20 05-PM,296.46,298.79,293.63,296.88,100.62
2017-08-20 06-PM,296.88,300.53,295.89,298.57,36.42
2017-08-20 07-PM,298.57,298.57,294.91,297.88,145.82
2017-08-20 08-PM,297.88,297.88,294.51,297.27,256.93
2017-08-20 09-PM,297.27,298.3,295.19,298.13,353.55
2017-08-20 10-PM,298.13,299.52,297.6,298.19,422.41
2017-08-20 11-PM,298.19,300.53,297.19,299.1,476.81
2017-08-21 12-AM,299.1,300.9,295.76,300.7,364.4
2017-08-21 01-AM,300.7,300.7,294.6,299,213.24
2017-08-21 02-AM,299,299,294.6,297.51,68.84
2017-08-21 03-AM,297.51,299.85,297.12,299.85,67.88
2017-08-21 04-AM,299.85,304.83,299.11,303.91,275.36
2017-08-21 05-AM,303.91,314.28,303.91,314.05,255.61
2017-08-21 06-AM,314.05,329.49,313.28,321.79,230.06
2017-08-21 07-AM,321.79,325.3,313,318.5,110.89
2017-08-21 08-AM,318.5,324.3,312.75,318.72,21.51
2017-08-21 09-AM,318.72,318.72,314.98,317.29,23.54
2017-08-21 10-AM,317.29,325.3,316.77,321.21,76.01
2017-08-21 11-AM,321.21,333.66,312.6,331.53,76.98
2017-08-21 12-PM,331.53,331.53,325.42,331.3,89.06
2017-08-21 01-PM,331.3,346.52,329.41,346.52,400.62
2017-08-21 02-PM,346.52,346.52,328.68,334.17,362.71
2017-08-21 03-PM,334.17,338.34,329.47,334.94,347.71
2017-08-21 04-PM,334.94,338.34,333.25,338.33,272.47
2017-08-21 05-PM,338.33,342.72,330.8,332.33,505.26
2017-08-21 06-PM,332.33,333.63,316.82,316.82,491.05
2017-08-21 07-PM,316.82,332.33,316.82,329.71,425.34
2017-08-21 08-PM,329.71,332.74,320.88,325.28,289.28
2017-08-21 09-PM,325.28,326.8,318.42,326.79,57.45
2017-08-21 10-PM,326.79,326.79,318.45,318.45,29.84
2017-08-21 11-PM,318.45,323.29,316.12,323.29,79.42
2017-08-22 12-AM,323.29,330.41,318.72,323.04,403.91
2017-08-22 01-AM,323.04,325.07,302.27,309.97,166.03
2017-08-22 02-AM,309.97,315.2,301.4,312.99,143.09
2017-08-22 03-AM,312.99,317.68,280,280,82.23
2017-08-22 04-AM,280,309.03,144.21,287,145.21
2017-08-22 05-AM,287,303,279.96,279.96,18.78
2017-08-22 06-AM,279.96,310.24,279.96,305.37,227.56
2017-08-22 07-AM,305.37,305.37,294.38,300.35,295.91
2017-08-22 08-AM,300.35,302.26,296,299.82,512.49
2017-08-22 09-AM,299.82,310.24,299.82,308.33,530.51
2017-08-22 10-AM,308.33,313.16,305.4,310.24,535.89
2017-08-22 11-AM,310.24,312.93,306.97,308.03,551.19
2017-08-22 12-PM,308.03,311.24,304.53,311.23,662.63
2017-08-22 01-PM,311.23,311.23,306.65,307.08,397.28
2017-08-22 02-PM,307.08,309.53,301.48,305.48,384
2017-08-22 03-PM,305.48,309.85,304.88,308.39,281.97
2017-08-22 04-PM,308.39,320.24,305.08,317.74,437.85
2017-08-22 05-PM,317.74,320.76,312,312.07,244.76
2017-08-22 06-PM,312.07,315.25,309.6,310.77,377.3
2017-08-22 07-PM,310.77,314.83,307.03,307.03,223.12
2017-08-22 08-PM,307.03,312,305.66,310.19,250.44
2017-08-22 09-PM,310.19,311.99,305.08,309.16,276.06
2017-08-22 10-PM,309.16,313.1,309.16,310.61,293.79
2017-08-22 11-PM,310.61,313.99,306.9,309.8,365.91
2017-08-23 12-AM,309.8,313.99,309.41,312.45,168.45
2017-08-23 01-AM,312.45,314.82,310.56,312.67,170.07
2017-08-23 02-AM,312.67,316.27,312.66,314.15,475.21
2017-08-23 03-AM,314.15,319.78,312.98,317.26,229.54
2017-08-23 04-AM,317.26,324.99,315.45,323,424.37
2017-08-23 05-AM,323,323.26,316.51,316.74,252.43
2017-08-23 06-AM,316.74,323.29,315.35,322.1,434.85
2017-08-23 07-AM,322.1,323.3,318.04,319.06,244.78
2017-08-23 08-AM,319.06,323.19,318.02,322.07,388.55
2017-08-23 09-AM,322.07,324.51,319.74,320.74,310.17
2017-08-23 10-AM,320.74,324.21,319.73,319.74,259.14
2017-08-23 11-AM,319.74,323.07,318.95,319.2,318.01
2017-08-23 12-PM,319.2,322,313.75,316.96,588.67
2017-08-23 01-PM,316.96,318.96,314.5,316,684.18
2017-08-23 02-PM,316,318.96,313.81,318.29,496.48
2017-08-23 03-PM,318.29,319.32,315.53,319.2,301.71
2017-08-23 04-PM,319.2,319.21,315.53,318.85,779.24
2017-08-23 05-PM,318.85,320.32,317.19,318.47,268.74
2017-08-23 06-PM,318.47,321.29,318.25,318.3,249.26
2017-08-23 07-PM,318.3,322.34,316.73,318.57,319.32
2017-08-23 08-PM,318.57,320.2,312.05,313.75,481.54
2017-08-23 09-PM,313.75,319.47,313.75,316.68,236.42
2017-08-23 10-PM,316.68,318.62,313.78,316.74,202.33
2017-08-23 11-PM,316.74,319.47,315.45,315.74,248.88
2017-08-24 12-AM,315.74,318.45,314.4,317.44,270.1
2017-08-24 01-AM,317.44,318.45,314.01,315.08,315.87
2017-08-24 02-AM,315.08,318.44,314.06,315.05,188.92
2017-08-24 03-AM,315.05,318.44,315.04,315.22,267.61
2017-08-24 04-AM,315.22,319.47,314.31,316.45,252.25
2017-08-24 05-AM,316.45,322.36,316.14,318,297.05
2017-08-24 06-AM,318,320.53,316.15,320.53,295.87
2017-08-24 07-AM,320.53,321.14,317.53,318.54,186.12
2017-08-24 08-AM,318.54,321.07,318.54,320.32,278.65
2017-08-24 09-AM,320.32,322,318.53,318.75,337.69
2017-08-24 10-AM,318.75,321.3,316.66,317.02,624.07
2017-08-24 11-AM,317.02,323.61,316.14,323.61,398.35
2017-08-24 12-PM,323.61,328.04,317.9,322,345.55
2017-08-24 01-PM,322,325.37,318.97,324.8,337.67
2017-08-24 02-PM,324.8,326.79,320.84,320.84,316.23
2017-08-24 03-PM,320.84,323.98,320.84,321.2,118.58
2017-08-24 04-PM,321.2,323.68,319,322,197.83
2017-08-24 05-PM,322,323.56,318.97,322.45,198.64
2017-08-24 06-PM,322.45,323.79,320.17,322.76,240.07
2017-08-24 07-PM,322.76,325.35,321.22,321.23,253.24
2017-08-24 08-PM,321.23,324,318.97,320.04,138.61
2017-08-24 09-PM,320.04,322.29,318.97,321.21,265.94
2017-08-24 10-PM,321.21,326.33,319.83,323.72,296.88
2017-08-24 11-PM,323.72,326.25,322.3,323.42,186.29
2017-08-25 12-AM,323.42,327.81,323.42,325.54,478.81
2017-08-25 01-AM,325.54,328.82,324.41,328.81,449.58
2017-08-25 02-AM,328.81,329.93,324.42,328.19,249.55
2017-08-25 03-AM,328.19,330.44,325.4,326.55,200.16
2017-08-25 04-AM,326.55,331.35,326.55,331.35,310.91
2017-08-25 05-AM,331.35,335,329.18,331.73,241.41
2017-08-25 06-AM,331.73,333.31,328.69,330.17,218.51
2017-08-25 07-AM,330.17,334.34,330.17,330.29,322.05
2017-08-25 08-AM,330.29,334.34,329.86,334.17,318.27
2017-08-25 09-AM,334.17,335.41,331.09,331.09,217.6
2017-08-25 10-AM,331.09,333.42,327.69,329.78,332.8
2017-08-25 11-AM,329.78,331.69,327.4,331.26,330.23
2017-08-25 12-PM,331.26,335.33,328.72,330.7,1335.04
2017-08-25 01-PM,330.7,334.74,330.68,332,184.13
2017-08-25 02-PM,332,333.68,330.67,331.95,278.46
2017-08-25 03-PM,331.95,335.33,330.68,333.15,141.96
2017-08-25 04-PM,333.15,338.28,333.15,334.77,198.99
2017-08-25 05-PM,334.77,337,331.88,332.01,137.88
2017-08-25 06-PM,332.01,336.49,331.88,333.27,146.06
2017-08-25 07-PM,333.27,335.1,325.42,328.71,267.97
2017-08-25 08-PM,328.71,330.99,324.9,330.98,172.15
2017-08-25 09-PM,330.98,332.26,326.77,330.18,201.18
2017-08-25 10-PM,330.18,332.27,326.99,328.6,100.21
2017-08-25 11-PM,328.6,330.99,326.25,327.24,192.79
2017-08-26 12-AM,327.24,332.27,327.24,328.26,153.95
2017-08-26 01-AM,328.26,332.26,325.02,325.39,122.81
2017-08-26 02-AM,325.39,328.02,323.41,324.72,173.88
2017-08-26 03-AM,324.72,328.02,323.46,323.46,116.47
2017-08-26 04-AM,323.46,326.74,323.41,324.72,196.9
2017-08-26 05-AM,324.72,326.86,323.55,326.23,285.19
2017-08-26 06-AM,326.23,329.69,324.06,326.19,193.17
2017-08-26 07-AM,326.19,328.91,325.17,327.9,388.87
2017-08-26 08-AM,327.9,330.73,327.58,328.82,186.86
2017-08-26 09-AM,328.82,330.89,326.69,327.69,167.42
2017-08-26 10-AM,327.69,330.89,327.69,327.89,257.34
2017-08-26 11-AM,327.89,331.25,326.69,327.89,244.92
2017-08-26 12-PM,327.89,330.11,325.1,330.11,229.75
2017-08-26 01-PM,330.11,332.26,324.06,330.98,269.69
2017-08-26 02-PM,330.98,335.44,329.83,332.34,190.94
