Timestamp,Open,High,Low,Close,Volume
2017-12-13 03-AM,274,288,274,276,341.37
2017-12-13 04-AM,276,288,269.99,279,1794.66
2017-12-13 05-AM,279,330,279,302,1029.33
2017-12-13 06-AM,302,304.11,286,291.13,1052.52
2017-12-13 07-AM,291.13,296,285,290,371.29
2017-12-13 08-AM,287,290,280.1,280.1,247.77
2017-12-13 09-AM,280.1,288.96,278,284.19,187.36
2017-12-13 10-AM,284.19,287.4,275.2,284.5,649.66
2017-12-13 11-AM,275.26,286.98,270.26,280,253.73
2017-12-13 12-PM,280,308,280,305,1475.35
2017-12-13 01-PM,305,325,300,321,1274.35
2017-12-13 02-PM,318.98,318.98,291.11,291.11,1919.48
2017-12-13 03-PM,291.11,307.89,291.11,291.83,906.41
2017-12-13 04-PM,297,297.9,287.54,288.01,473.41
2017-12-13 05-PM,288.01,301.63,270,284.01,1584.46
2017-12-13 06-PM,282.5,296,260,279.81,1640.25
2017-12-13 07-PM,279.81,294,268.89,288.88,833.62
2017-12-13 08-PM,288.88,288.88,276,278,1065.39
2017-12-13 09-PM,278,292.88,277,288.66,1086.24
2017-12-13 10-PM,288.66,301,288.66,291,582.7
2017-12-13 11-PM,294,307.89,286,290.01,262.51
2017-12-14 12-AM,290.01,296,283.99,296,257.91
2017-12-14 01-AM,296,298,291.09,295,261.13
2017-12-14 02-AM,295,295,295,295,0
2017-12-14 03-AM,295,295,295,295,0
2017-12-14 04-AM,295,295,295,295,0
2017-12-14 05-AM,295,295,295,295,0
2017-12-14 06-AM,295,295,295,295,0
2017-12-14 07-AM,295,295,295,295,0
2017-12-14 08-AM,295,295,295,295,0
2017-12-14 09-AM,295,295,295,295,0
2017-12-14 10-AM,295,295,295,295,0
2017-12-14 11-AM,295,295,295,295,0
2017-12-14 12-PM,295,295,295,295,0
2017-12-14 01-PM,295,295,295,295,0
2017-12-14 02-PM,281.85,282,260.98,260.98,597.46
2017-12-14 03-PM,260.98,279,252,275.01,1346.07
2017-12-14 04-PM,275.01,278,271.2,273.03,631.72
2017-12-14 05-PM,273.03,278.7,265.99,265.99,228.39
2017-12-14 06-PM,265.99,275,257.01,261.2,572.18
2017-12-14 07-PM,261.2,270,257.5,263.99,335.02
2017-12-14 08-PM,263.99,280,263,272.4,400.54
2017-12-14 09-PM,272.4,273.8,265,265.3,255.34
2017-12-14 10-PM,265.3,270.93,265.3,267.55,453.15
2017-12-14 11-PM,267.55,272.4,264.01,272.4,335.64
2017-12-15 12-AM,272.4,275.96,268.6,271,290.31
2017-12-15 01-AM,271,273.09,255.5,259.6,575.05
2017-12-15 02-AM,259.6,265,239.99,250.5,1112.44
2017-12-15 03-AM,250.5,274.9,249,268.94,758.94
2017-12-15 04-AM,268.94,280.18,265,265.01,666.6
2017-12-15 05-AM,265.01,270.2,262.03,265.6,146.46
2017-12-15 06-AM,265.6,275,264.02,268.6,239.71
2017-12-15 07-AM,268.6,275,262.5,264.99,194.81
2017-12-15 08-AM,264.99,272,262.54,265.56,236.63
2017-12-15 09-AM,265.56,269,245.79,259.27,514.84
2017-12-15 10-AM,259.27,260.3,241,257.2,1875.17
2017-12-15 11-AM,257.2,261.99,257.12,260.03,104.16
2017-12-15 12-PM,260.03,269.1,258,265.1,322.13
2017-12-15 01-PM,265.1,302,265.1,289.98,2305.88
2017-12-15 02-PM,289.98,295.9,280,294.58,1092.36
